Date Read,Author,Title,Published,Rating
20131101,Кэндзи Миядзава,Недетские сказки Японии,1933,★★★★☆
20131101,Рене Груссе,Империя степей,1938,★★★★☆
20131101,Окакура Какудзо,Книга чая,,★★★☆☆
20131101,Тэйчи Ямада,Лето с чужими,1987,★★★☆☆
20131101,Масако Бандо,Остров мертвых,1996,★★☆☆☆
20131101,Timothy Ferriss,The 4-Hour Workweek,2007,★★★★☆
20131101,David Lynch,Catching the Big Fish,2006,★★★☆☆
20131201,Yasuo Kuwahara,Kamikaze,1982,★★★☆☆
20131201,Майкл Крайтон,Крылья,1996,★★★☆☆
20131201,Майкл Крайтон,Штамм Андромеда,1969,★★★☆☆
20131221,Mason Currey,Daily Rituals,2013,★★★☆☆
20131221,Scott Frost,The Autobiography of S.A. Dale Cooper,1991,★★★★☆
20131221,Naoki Urasawa,Monster,2009,★★★★☆
20131221,Naoki Urasawa,PLUTO,2009,★★★★☆
20131221,Кодзи Судзуки,Прогулка богов,2003,★★★☆☆
20131221,Кодзи Судзуки,Рождение / Ringu-0,1999,★★★★☆
20131221,Кодзи Судзуки,Тёмные воды,1996,★★★☆☆
20131221,Кодзи Судзуки,Петля / Ringu-3,1998,★★★★☆
20131221,Майкл Крайтон,Рой,2002,★★★☆☆
20131231,Austin Kleon,Steal Like an Artist,2012,★★★★☆
20140103,Chris Hadfield,An Astronaut’s Guide to Life on Earth,2013,★★★★☆
20140104,Артуро Перес-Реверте,Кожа для барабана,1995,☆☆☆☆☆
20140107,Edogawa Rampo,Japanese Tales of Mystery,1956,★★★★☆
20140117,Николай Амосов,Книга о счастье и несчастьях,1984,★★☆☆☆
20140203,Стивен Кинг,"Билли ""Блокада""",2010,★★★☆☆
20140213,Александров Г.Ф.,Иосиф Виссарионович Сталин,1948,☆☆☆☆☆
20140323,Jack Welch,Winning,1992,★★★☆☆
20140323,Малкольм Гладуэлл,Переломный момент,2000,★★★★☆
20140323,Nassim Nicholas Taleb,The Black Swan,2007,★★★★☆
20140323,Михаил Гиголашвили,Чертово колесо,2009,★☆☆☆☆
20140323,Лев Троцкий,Сталин,1939,★★★★☆
20140330,Айзек Азимов,Прелюдия к Основанию,1988,★★★☆☆
20140412,Kunio Kobayashi,Bonsai,2011,★★★★☆
20140424,Айзек Азимов,Путь к Основанию,1993,★★★☆☆
20140430,Миюки Миябэ,Перекрестный огонь,1998,★★☆☆☆
20140505,Лев Ребет,Світла і тіні ОУН,1964,★★★★☆
20140512,Галина Гордасевич,Степан Бандера,2000,★★☆☆☆
20140620,Bob McCarty,The Clapper Memo,2013,★★☆☆☆
20140622,Max Brooks,The Zombie Survival Guide,2003,★★★★☆
20140831,Харуки Мураками,Страна Чудес без тормозов,1985,★★★★★
20140922,Raymond Buckland,Buckland's Book of Gypsy Magic,2010,★★★☆☆
20140926,Мирослав Кальба,Нахтігаль у світі фактів,1984,★★★★☆
20140928,Вольф-Дітріх Гайке,Українська дивізія Галичина,1990,★★★★☆
20140929,Inazō Nitobe,Bushido,1905,★★★★☆
20140930,Tim Weiner,Enemies,2012,★★★★★
20141007,Малкольм Гладуэлл,Давид и Голиаф,2013,★★★★☆
20141031,Александр Пятигорский,Философия одного переулка,1989,★★★☆☆
20141102,Александр Пятигорский,Вспомнишь странного человека,1999,★★★★☆
20141108,Eloise Keeler,The Lie Detector Man,1983,★★☆☆☆
20141116,John F. Sullivan,Gatekeeper,2007,★★★★☆
20141123,Стивен Кинг,Мистер Мерседес,2014,★★☆☆☆
20141125,Justin Halpern,Sh*t My Dad Says,2010,★★★☆☆
20141208,Майкл Шейбон,Союз еврейских полисменов,2007,★★★★☆
20141212,Роберт Чарльз Уилсон,Спин,2007,★★★☆☆
20141215,Стивен Кинг,Страна радости,2013,★★★★☆
20141218,Mike Rohde,The Sketchnote Handbook,2012,★★★★★
20150103,Takuan Sōhō,The Unfettered Mind,2012,★★★★★
20150201,Шолом-Алейхем,Вибране,1930,★★★★★
20150202,Bankei Yōtaku,Unborn,2000,★★★★☆
20150206,James Allan Matte,Forensic Psychophysiology,1996,★★★★☆
20150212,John Wiley & Sons,A Little Bit of Everything For Dummies,2011,☆☆☆☆☆
20150221,Павло Штепа,Мафія,1971,★★★☆☆
20150222,P.D. Ouspensky,Strange Life of Ivan Osokin,1947,★★★★☆
20150222,Георгий Гурджиев,Встречи с замечательными людьми,1963,★★★★☆
20150222,Glen Mizrahi,Simplicity,2015,★★☆☆☆
20150222,Johnny B. Truant,The Universe Doesn't Give a Flying Fuck,2012,★★★☆☆
20150313,Chicago Tribune Staff,Life Skills,2012,★★★☆☆
20150323,Shelley Klein,The Most Evil Secret Societies in History,2005,★★☆☆☆
20150412,Ніл Хасевич,Графіка в бункрах УПА,1952,★★★★★
20150413,Стивен Кинг,Возрождение,2015,★★★★☆
20150422,Стивен Кинг,Талисман,1984,★★★☆☆
20150517,Стивен Кинг,История Лизи,2006,★★☆☆☆
20150529,Stephen Mansfield,Japanese Stone Gardens,2009,★★★★☆
20150630,Євген Побігущий,Мозаїка моїх споминів,1982,★★★☆☆
20150801,H. Keith Melton,The Official CIA Manual of Trickery,2009,★★★☆☆
20150814,Atul Gawande,The Checklist Manifesto,2009,★★★★★
20150823,Randall Munroe,What If?,2014,★★★☆☆
20150913,Петро Мірчук,В рядах УПА,1957,★★★★☆
20151004,Харуки Мураками,Бесцветный Цукуру Тадзаки,2013,★★★★☆
20151007,Генри Дэвид Торо,Уолден,1854,★★★★☆
20151007,Кензо Китаката,Пепел,1990,★★★☆☆
20151031,John Ralston Saul,The Doubter’s Companion,1994,★★★★☆
20151031,Дзюнноскэ Ёсиюки,Тёмная комната,1969,★★☆☆☆
20151105,Тэру Миямото,Узорчатая парча,1982,★★★★★
20151122,David Morrell,First Blood,1972,★★★☆☆
20151127,Anatoli Boukreev,The Climb,1997,★★★☆☆
20151206,Chuck Palahniuk,Fight Club,1996,★★★★☆
20151208,Джек Макдевит,Берег бесконечности,2000,★★★☆☆
20151210,Майкл Флинн,Эйфельхайм,1987,★★★★☆
20151218,Михайло Кос,Про полові справи,1912,★★★★☆
20151223,Оливер Сакс,Галлюцинации,2012,★★★☆☆
20151226,Brian Rinaldi,Static Site Generators,2015,★★★★☆
20160109,Jon Krakauer,Into the Wild,1996,★★☆☆☆
20160215,Жозе Сарамаго,Каин,2017,★☆☆☆☆
20160221,Стивен Кинг,Кто нашёл  берёт себе,2015,☆☆☆☆☆
20160225,Секст Емпірик,Проти етиків,1997,★★★★☆
20160331,Джон Ронсон,Мужчины пялящиеся на коз,2004,★★★☆☆
20160331,Ethan M. Rasiel,The McKinsey Way,1999,★★★☆☆
20160403,Річард Бахман,Лють,1977,☆☆☆☆☆
20160412,Teris A.van Beek,Ginkgo Biloba,2007,★★★☆☆
20160416,James Jared,How to Analyze People,2015,★★☆☆☆
20160517,Peter Crane,The Tree That Time Forgot,2013,★★★☆☆
20160517,Kurt Eichenwald,The Informant,2000,★★☆☆☆
20160520,Вітольд Ґомбрович,Щоденник,1953,☆☆☆☆☆
20160716,Джон Вердон,Загадай число,2010,☆☆☆☆☆
20160722,Масахико Симада,Повелитель снов,1989,☆☆☆☆☆
20160722,Дзюнъитиро Танидзаки,Дневник безумного старика,1961,★★★☆☆
20160722,Жан-Кристоф Гранже,Империя волков,2003,★★★☆☆
20160815,Сюсаку Эндо,Уважаемый господин дурак,1959,★★★☆☆
20160828,Гаврило Гордієнко,Історія культурних рослин,1970,★★★★☆
20160909,Луи-Фердинанд Селин,Путешествие на край ночи,1932,★★★☆☆
20160915,Любинецька,Правила доброї поведінки,1961,★★★★★
20160920,Аластер Рейнольдс,Обречённый мир,2010,★★☆☆☆
20160923,Джек Макдевит,Эхо,2010,★★☆☆☆
20160923,Michael Savage,Diseases Without Borders,2016,★★★☆☆
20160924,Norman Malcolm,Ludwig Wittgenstein,2001,★★★☆☆
20160925,Иори Фудзивара,Зонтик для террориста,1995,★★★☆☆
20160925,Ichiro Kishimi,The Courage to Be Disliked,2013,★★★★☆
20160926,Нацуо Кирино,Реальный мир,2003,★★★☆☆
20160927,Benjamin K. Bergen,What the F,2016,★★★☆☆
20160928,Иори Фудзивара,Тьма на ладони,1999,★★★☆☆
20161012,Иори Фудзивара,Праздник подсолнухов,1997,★★★☆☆
20161017,Кэйго Хигасино,Сыщик Галилей,1998,★★★☆☆
20161026,Рене Баржавель,Ніч часів,1968,★★☆☆☆
20161113,Stephen King,Доктор Сон,2013,★★★★☆
20161122,Greg McKeown,Essentialism,2011,★★★☆☆
20161127,Грег Иган,Город перестановок,1994,☆☆☆☆☆
20161213,Фредерик Пол,Туннель под миром,1955,★★★☆☆
20161224,Роджер Желязны,Остров Мёртвых,1969,★★★★☆
20161225,Роберт Хайнлайн,Двойная звезда,1956,★★★★☆
20161227,Роберт Хайнлайн,Луна — суровая хозяйка,1966,★★★★☆
20161230,Joseph Telushkin,Rebbe,2014,★★★★★
20170110,Роберт Хайнлайн,Неприятная профессия Джонатана Хога,1942,★★★★☆
20170110,Десмонд Сьюард,Монахи войны,1972,★★★☆☆
20170122,Харуки Мураками,Норвежский лес,1987,★★★★☆
20170127,Роберт Хайнлайн,Дорога славы,1963,★★★☆☆
20170317,Ричард Мэтисон,Я — легенда,2005,★★★☆☆
20170404,Нил Стивенсон,"Вирус ""Reamde""",2011,★★★☆☆
20170414,Мартин Бубер,Хасидские истории,1949,★★★★☆
20170717,Alan W. Watts,The Power of Space and Reincarnation,2015,★★★★☆
20170813,Харуки Мураками,Слушай песню ветра,1979,★★★★☆
20170819,Харуки Мураками,Пинбол 1973,1980,★★★★☆
20170828,Харуки Мураками,1Q84,2009,★★★★★
20170828,Харуки Мураками,Охота на овец,1982,★★★★☆
20170830,Харуки Мураками,Дэнс,1988,★★★★☆
20170916,Юрій Винничук,Весняні ігри в осінніх садах,2005,★★★☆☆
20171001,Юрій Винничук,Мальва Ланда,2000,★★★★☆
20171029,Юрій Винничук,Діви ночі,1991,★★★☆☆
20171103,Юрій Винничук,Цензор снів,2016,★★★☆☆
20171107,Карл Саган,Контакт,1985,★★☆☆☆
20171107,Фред Хойл,Чёрное облако,1957,★★★☆☆
